,index,PID,priceperarea,SalePrice,nn5meansaleprice,nn5medsaleprice
0,0,526350040,117.1875,105000,158380.0,169000.0
1,1,526351010,129.42061700526708,172000,146500.0,157500.0
2,2,526351030,124.82319660537482,176500,145600.0,157500.0
3,3,526351100,109.48396094839607,157000,157560.0,167300.0
4,4,526301100,129.83091787439614,215000,155480.0,157500.0
5,5,526302030,115.93194122196442,149900,167600.0,169000.0
6,6,526302040,153.80859375,157500,166980.0,169000.0
7,7,526302110,141.156462585034,124500,164980.0,169000.0
8,8,526302120,94.04563160823595,169000,147100.0,157500.0
9,9,526352080,105.41902961562694,167300,187320.0,176500.0
10,10,526352090,130.7752545027408,167000,183360.0,172000.0
11,11,526353030,115.63981042654028,244000,190280.0,167300.0
12,12,526353050,112.18705715635332,237500,113480.0,116900.0
13,13,527105010,116.57458563535911,189900,192000.0,192000.0
14,14,527105030,121.88279301745636,195500,190880.0,189900.0
15,15,527105050,116.89526184538653,187500,191280.0,192000.0
16,16,527105060,120.327868852459,183500,198500.0,195500.0
17,17,527105070,117.84825870646765,189500,196780.0,195500.0
18,18,527105130,118.26544021024965,270000,194700.0,192000.0
19,19,527105140,129.8326601269475,225000,203700.0,192000.0
20,20,527106010,99.28443649373881,222000,180000.0,183500.0
21,21,526354020,103.7817396002161,192100,226040.0,244000.0
22,22,526354070,97.96401515151516,206900,196980.0,192100.0
23,23,526355080,127.58875739644972,345000,213760.0,205000.0
24,24,526355170,109.76158344579396,244000,204740.0,201800.0
25,25,526355190,120.88407758231844,268000,211800.0,206900.0
26,26,527106050,112.24489795918369,165000,173400.0,170000.0
27,27,527132090,162.3815967523681,240000,236380.0,239500.0
28,28,527140090,134.62976813762157,180000,197880.0,191500.0
29,29,527145080,149.609375,191500,181580.0,180000.0
30,30,527145090,140.625,180000,183880.0,180000.0
31,31,527106140,121.88279301745636,195500,185980.0,189900.0
32,32,527106150,117.21611721611721,192000,191580.0,189900.0
33,33,527107010,105.74572127139365,173000,171800.0,168500.0
34,34,527107020,101.73548773189708,170000,172400.0,168500.0
35,35,527107030,125.16688918558077,187500,168900.0,168500.0
36,36,527107040,106.87022900763357,168000,174300.0,173000.0
37,37,527107090,128.5404624277457,177900,173500.0,175000.0
38,38,527107120,113.73873873873873,202000,180780.0,177900.0
39,39,527107130,116.09336609336609,189000,183380.0,177900.0
40,40,527107210,121.02351313969572,175000,172100.0,169000.0
41,41,527107240,122.43547319655858,185000,170100.0,169000.0
42,42,527108030,121.12403100775194,250000,278025.0,274725.0
