,PID,Latitude,Longitude,SalePrice,nn5meansaleprice,nn5medsaleprice
0,526350040,42.052806,-93.619783,105000,158380.0,169000.0
1,526351010,42.05269954061322,-93.61883290722687,172000,146500.0,157500.0
2,526351030,42.052681,-93.618734,176500,145600.0,157500.0
3,526351100,42.051488392159044,-93.61952556769371,157000,157560.0,167300.0
4,526301100,42.053808000000004,-93.618344,215000,155480.0,157500.0
5,526302030,42.053668,-93.618459,149900,167600.0,169000.0
6,526302040,42.053578345205075,-93.61827582597935,157500,166980.0,169000.0
7,526302110,42.05284062808919,-93.61863289727208,124500,164980.0,169000.0
8,526302120,42.05285252734814,-93.61867770937496,169000,147100.0,157500.0
9,526352080,42.051405219787505,-93.61846536488972,167300,187320.0,176500.0
10,526352090,42.051454699645845,-93.61846427481623,167000,183360.0,172000.0
11,526353030,42.05135967551003,-93.61727860987577,244000,190280.0,167300.0
12,526353050,42.0382834,-93.6107034,237500,113480.0,116900.0
13,527105010,42.060506142537406,-93.63897608080792,189900,192000.0,192000.0
14,527105030,42.06060596602949,-93.63895655012466,195500,190880.0,189900.0
15,527105050,42.061309909266356,-93.63904900420931,187500,191280.0,192000.0
16,527105060,42.06135245463318,-93.63905850210465,183500,198500.0,195500.0
17,527105070,42.059945836734684,-93.63922063265306,189500,196780.0,195500.0
18,527105130,42.06081248688972,-93.64015721921795,270000,194700.0,192000.0
19,527105140,42.06085597027575,-93.64016214507029,225000,203700.0,192000.0
20,527106010,42.06150951715559,-93.63794834427313,222000,180000.0,183500.0
21,526354020,42.05034167989689,-93.61746741627456,192100,226040.0,244000.0
22,526354070,42.0493637483811,-93.6174714724021,206900,196980.0,192100.0
23,526355080,42.04929427138124,-93.61548374429668,345000,213760.0,205000.0
24,526355170,42.04956606736796,-93.61723704898948,244000,204740.0,201800.0
25,526355190,42.05032721169686,-93.61724350546999,268000,211800.0,206900.0
26,527106050,42.06079867245493,-93.63774189850938,165000,173400.0,170000.0
27,527132090,42.06152173624419,-93.63324758470863,240000,236380.0,239500.0
28,527140090,42.06055687660365,-93.63422767405338,180000,185880.0,180000.0
29,527145080,42.060443476745036,-93.63405060531882,191500,183580.0,180000.0
30,527145090,42.060465939125045,-93.63403035217894,180000,185880.0,180000.0
31,527145090,42.060465939125045,-93.63403035217894,180000,185880.0,180000.0
32,527106140,42.06062507997717,-93.63872709215755,195500,185980.0,189900.0
33,527106150,42.06058064266129,-93.63873212472623,192000,191580.0,189900.0
34,527107010,42.0603486959744,-93.637452348362,173000,171800.0,168500.0
35,527107020,42.0603177838976,-93.63745039344806,170000,172400.0,168500.0
36,527107030,42.0602868718208,-93.63744843853412,187500,168900.0,168500.0
37,527107040,42.06053909361631,-93.63693627207762,168000,174300.0,173000.0
38,527107090,42.06095352056197,-93.63584734952137,177900,173500.0,175000.0
39,527107120,42.06144056645819,-93.63567652931792,202000,180780.0,177900.0
40,527107130,42.06162008936728,-93.63567359736632,189000,183380.0,177900.0
41,527107210,42.060798299999995,-93.6364315,175000,172100.0,169000.0
42,527107240,42.060798299999995,-93.6364315,185000,170100.0,169000.0
